playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477501,2024,Valeri Nichushkin,COL,R,other,21,1870,29,14.84,0.55,0.61,0.47,0.48,0.49,0.48,63,5.56,2.52,0.36,0.65,0.15,2.48,0.84,2.34,2.52,2.34,0,1,4,3,2,9,4,3,0,0,1,0,2,1,1,4,0,0,0,0,0,2,3,0,4,0.18,0,2.35,0,0,3,9,7,7,1,0.12,0,0,2.64,2.64,2.44,29,10,6,0,13,1,1,12,15,0,2,1510,0,0,0,2,25.24,7.77,7.53,7.77,7.53,20,14,11,45,7,1,0,17,6,11,0.76,0.83,6.18,1,0,6,45,34,34,0.48,0.17,0.17,8.07,8.07,7.85,24.46,6.33,6.14,6.33,6.14,25,10,16,51,7,4,0,17,7,11,0.68,0.83,4.83,0,1,6,51,35,35,0.48,1,1,5.82,5.82,5.68,6.13,3.86,31,34,0,0,0,0,0,0
8477501,2024,Valeri Nichushkin,COL,R,all,21,24732,485,18.45,0.51,0.51,0.54,0.5,0.52,0.5,76,52.85,9.25,3.78,10.79,1.62,27.63,17.93,8.81,9.37,8.94,3,3,52,19,24,95,17,11,4,4,12,0,24,20,41,60,2,4,3,18,3,17,47,14,10,1.89,1.86,5.5,2,1,8,95.07,71,71.4,5,0.87,1.18,2.57,7.54,7.63,7.25,485,102,59,52,272,61,68,78,278,3,3,51168,4,4,2,10,228.3,27.02,26.05,27.35,26.38,220,97,145,462,32,14,6,238,51,28,6.99,6.36,13.67,8,7,17,463.29,317,320.04,3.63,4.48,4.48,26.17,26.47,25.66,216.28,25.79,24.4,25.56,24.2,207,86,104,397,24,31,3,205,51,37,6.36,6.75,12.68,9,5,10,394.87,293,290.86,3.27,8.1,8.23,20.83,20.69,20.22,38.64,37.2,806,809,0,0,0,0,0,0
8477501,2024,Valeri Nichushkin,COL,R,5on5,21,17217,358,18.45,0.45,0.52,0.52,0.52,0.5,0.52,107,39.23,4.18,2.68,8.99,1.26,21.54,15.36,4.09,4.3,4.21,3,2,40,14,22,76,11,6,4,2,11,0,19,14,34,48,1,2,1,18,3,13,40,11,3,1.63,1.49,1.06,2,1,3,76.06,54,54.41,4,0.56,1.18,0.68,4.06,4.14,4.09,358,60,40,42,216,49,50,53,206,1,0,44149,2,4,2,6,146.59,12.29,11.97,12.62,12.3,144,60,102,306,19,8,4,157,39,8,4.79,4.85,2.65,6,7,6,307.29,204,207.04,1.91,2.11,2.11,12.09,12.39,12.19,153.6,14.75,13.88,14.53,13.68,145,63,78,286,12,20,3,158,31,19,4.6,4.11,6.04,7,1,4,283.87,208,205.86,1.99,5.79,5.92,10.83,10.68,10.44,27.94,25.32,723,667,0.31,0.6,10,16,8,12
8477501,2024,Valeri Nichushkin,COL,R,4on5,21,1852,54,16.67,0.05,0.14,0.13,0.18,0.15,0.21,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,12,3,38,5,15,4,30,2,0,3207,2,0,0,0,5.22,0.18,0.18,0.18,0.18,5,2,0,7,0,0,0,7,0,0,0.18,0,0,0,0,0,7,7,7,0.05,0,0,0.23,0.23,0.23,29.94,3.83,3.55,3.83,3.55,30,9,10,49,4,5,0,23,10,6,0.92,1.32,1.59,2,2,0,49,39,39,0.7,0.94,0.94,3.59,3.59,3.5,0.96,5.77,17,80,0.07,0,1,0,1,0
8477501,2024,Valeri Nichushkin,COL,R,5on4,21,3793,44,18.18,0.89,0.51,0.9,0.71,0.87,0.67,75,8.07,2.54,0.74,1.15,0.21,3.62,1.74,2.39,2.54,2.39,0,0,8,2,0,10,2,2,0,2,0,0,3,5,6,8,0,0,0,0,0,2,4,3,3,0.08,0.37,2.09,0,0,2,10,10,10,0,0.19,0,1.9,0.84,0.84,0.73,44,31,1,7,5,6,2,9,27,0,1,1665,0,0,0,2,51.25,6.78,6.36,6.78,6.36,51,21,32,104,6,5,2,57,6,9,1.26,0.68,4.84,1,0,5,104,72,72,1.2,2.19,2.19,5.78,5.78,5.39,8.28,0.87,0.83,0.87,0.83,7,4,0,11,1,2,0,7,3,1,0.16,0.49,0.22,0,1,0,11,11,11,0.1,0.37,0.37,0.6,0.6,0.59,1.02,0.97,24,10,0,0,1,0,0,0
8480113,2024,Alex Iafallo,WPG,L,other,56,899,23,10.39,0.53,0.54,0.42,0.46,0.43,0.47,155,0.38,0.06,0.05,0.07,0.03,0.6,0.19,0.06,0.06,0.06,1,1,0,1,2,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0.06,0,0,0,0,0,3,1,1,1,0.01,0,0,0.07,0.07,0.07,23,1,9,1,12,1,0,8,14,0,1,2997,0,2,1,2,6.96,3.57,3,3.57,3,8,4,4,16,5,0,0,7,0,5,0.31,0,3.26,0,0,5,16,12,12,0.12,0,0,3.63,3.63,3.04,11.97,3.12,2.95,3.12,2.95,12,4,6,22,2,1,0,6,6,4,0.25,0.63,2.24,0,0,2,22,16,16,0.31,0.11,0.11,3.32,3.32,3.12,9.87,8.42,67,80,0,0,0,0,0,0
8480113,2024,Alex Iafallo,WPG,L,all,56,43381,1007,23.64,0.51,0.52,0.48,0.49,0.5,0.49,487,74.48,8.15,5.15,16.19,2.81,42.11,32.59,7.83,8.18,7.86,9,2,76,31,22,129,19,8,8,0,9,0,42,40,68,99,5,13,7,27,20,24,68,33,6,2.02,4.03,2.1,3,3,2,130.36,107,107.76,10,1.12,1.94,1.93,7.34,7.4,7.31,1007,89,184,144,590,135,120,146,606,7,8,159282,13,15,6,39,342.24,35.2,32.95,35.37,33.13,315,159,143,617,43,39,5,349,84,41,9.49,10.27,15.44,15,11,17,624.52,474,478.75,4.95,8.5,8.5,31.59,31.82,30.6,337.45,33.96,32.67,33.97,32.68,290,180,203,673,26,33,2,341,88,41,8.24,10.39,15.33,8,6,12,664.32,470,466.54,5.72,4.98,4.98,34.7,34.64,33.82,139.75,126.88,2600,2720,0,0,0,0,0,0
8480113,2024,Alex Iafallo,WPG,L,5on5,56,32345,736,23.64,0.54,0.52,0.51,0.49,0.54,0.49,558,56.08,6.03,3.87,12.98,2.13,31.48,23.52,5.75,6.06,5.78,4,1,53,27,17,97,9,4,6,0,6,0,33,31,49,76,4,11,4,26,13,19,51,25,4,1.63,3.15,1.25,3,1,0,98.36,80,80.76,6,0.81,1.65,1.93,4.91,4.97,4.93,736,63,105,121,447,107,91,93,445,4,6,136815,11,9,3,31,262.37,20.64,19.93,20.8,20.11,235,128,118,481,22,28,3,282,63,18,7.5,7.74,5.4,12,6,4,488.52,363,367.75,3.3,5.54,5.54,18.39,18.62,18.4,220.75,17.87,17.42,17.87,17.42,182,129,148,459,13,17,2,231,64,16,5.9,7.79,4.17,5,6,2,450.32,311,307.54,3,3.07,3.07,17.8,17.75,17.5,96.88,89.7,2182,2281,0.93,0.17,32,13,21,8
8480113,2024,Alex Iafallo,WPG,L,4on5,56,5900,149,21.18,0.06,0.15,0.07,0.11,0.08,0.15,125,4.79,0.19,0.12,0.55,0.14,1.29,3.7,0.19,0.19,0.19,0,0,5,1,1,7,0,0,0,0,0,0,2,4,5,6,0,0,3,0,5,3,5,1,0,0.08,0.11,0,0,0,0,7,6,6,3,0.03,0,0,0.22,0.22,0.22,149,0,68,16,65,8,21,26,94,3,0,7495,0,0,0,0,9.02,0.83,0.8,0.83,0.8,9,2,2,13,0,0,0,6,3,2,0.11,0.31,0.41,0,0,0,13,11,11,0.1,0,0,0.93,0.93,0.89,98.93,12.76,12.09,12.76,12.09,89,46,47,182,11,15,0,97,17,21,1.99,1.85,8.92,3,0,8,182,135,135,2.35,1.8,1.8,13.3,13.3,12.93,2.65,15.07,29,229,0,0,0,0,0,0
8480113,2024,Alex Iafallo,WPG,L,5on4,56,4237,99,21.68,0.98,0.86,0.91,0.82,0.92,0.79,323,13.23,1.86,1.11,2.6,0.51,8.73,5.18,1.83,1.86,1.83,4,0,18,2,2,22,8,4,2,0,3,0,6,5,14,16,1,2,0,1,1,1,11,7,2,0.24,0.77,0.85,0,2,2,22,20,20,0,0.27,0.29,0,2.13,2.13,2.1,99,25,2,6,66,19,8,19,53,0,1,8457,2,4,2,6,63.89,10.16,9.22,10.16,9.22,63,25,19,107,16,11,2,54,18,16,1.57,2.22,6.38,3,5,8,107,88,88,1.44,2.96,2.96,8.65,8.65,8.27,5.8,0.22,0.21,0.22,0.21,7,1,2,10,0,0,0,7,1,0,0.1,0.12,0,0,0,0,10,8,8,0.05,0,0,0.27,0.27,0.27,18.62,3.09,220,49,0,0,0,0,0,0
